dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
Obesity_onevsrest_0;gemma3_12b__react;react;gemma3_12b;0.04 +/- 0.000;4.202 +/- 0.000;11.618 +/- 0.000;0.073 +/- 0.000;0.022 +/- 0.000;0.959 +/- 0.000;0.082 +/- 0.000;0.027 +/- 0.000;0.158 +/- 0.000;0.025 +/- 0.000;0.884 +/- 0.000;1.0 +/- 0.000;0.87 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.134 +/- 0.000;0.122 +/- 0.000;0.223 +/- 0.000;0.543 +/- 0.000;0.134 +/- 0.000;0.244 +/- 0.000;0.513 +/- 0.000;4.277 +/- 0.000;1.134 +/- 0.000;1.284 +/- 0.000;1.186 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_1;gemma3_12b__react;react;gemma3_12b;0.108 +/- 0.000;3.175 +/- 0.000;16.325 +/- 0.000;0.058 +/- 0.000;0.016 +/- 0.000;0.964 +/- 0.000;0.104 +/- 0.000;0.026 +/- 0.000;0.243 +/- 0.000;0.027 +/- 0.000;0.98 +/- 0.000;1.0 +/- 0.000;0.97 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.238 +/- 0.000;0.136 +/- 0.000;0.391 +/- 0.000;0.543 +/- 0.000;0.238 +/- 0.000;0.339 +/- 0.000;0.538 +/- 0.000;3.694 +/- 0.000;1.127 +/- 0.000;1.195 +/- 0.000;1.132 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_2;gemma3_12b__react;react;gemma3_12b;0.025 +/- 0.000;4.798 +/- 0.000;10.244 +/- 0.000;0.083 +/- 0.000;0.025 +/- 0.000;0.955 +/- 0.000;0.093 +/- 0.000;0.032 +/- 0.000;0.186 +/- 0.000;0.022 +/- 0.000;0.925 +/- 0.000;1.0 +/- 0.000;0.9 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.152 +/- 0.000;0.158 +/- 0.000;0.264 +/- 0.000;0.543 +/- 0.000;0.152 +/- 0.000;0.266 +/- 0.000;0.565 +/- 0.000;4.476 +/- 0.000;1.138 +/- 0.000;1.283 +/- 0.000;1.169 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_3;gemma3_12b__react;react;gemma3_12b;0.013 +/- 0.000;5.467 +/- 0.000;8.95 +/- 0.000;0.059 +/- 0.000;0.016 +/- 0.000;0.967 +/- 0.000;0.09 +/- 0.000;0.026 +/- 0.000;0.179 +/- 0.000;0.018 +/- 0.000;0.934 +/- 0.000;1.0 +/- 0.000;0.92 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.13 +/- 0.000;0.139 +/- 0.000;0.264 +/- 0.000;0.543 +/- 0.000;0.13 +/- 0.000;0.272 +/- 0.000;0.586 +/- 0.000;4.669 +/- 0.000;1.161 +/- 0.000;1.144 +/- 0.000;0.951 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_4;gemma3_12b__react;react;gemma3_12b;0.003 +/- 0.000;6.41 +/- 0.000;11.066 +/- 0.000;0.084 +/- 0.000;0.027 +/- 0.000;0.952 +/- 0.000;0.076 +/- 0.000;0.031 +/- 0.000;0.133 +/- 0.000;0.012 +/- 0.000;0.885 +/- 0.000;1.0 +/- 0.000;0.892 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.094 +/- 0.000;0.095 +/- 0.000;0.168 +/- 0.000;0.543 +/- 0.000;0.094 +/- 0.000;0.267 +/- 0.000;0.463 +/- 0.000;3.931 +/- 0.000;1.122 +/- 0.000;1.367 +/- 0.000;1.251 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_5;gemma3_12b__react;react;gemma3_12b;0.037 +/- 0.000;3.46 +/- 0.000;8.451 +/- 0.000;0.062 +/- 0.000;0.018 +/- 0.000;0.964 +/- 0.000;0.086 +/- 0.000;0.026 +/- 0.000;0.176 +/- 0.000;0.017 +/- 0.000;0.793 +/- 0.000;1.0 +/- 0.000;0.8 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.134 +/- 0.000;0.125 +/- 0.000;0.246 +/- 0.000;0.543 +/- 0.000;0.134 +/- 0.000;0.249 +/- 0.000;0.567 +/- 0.000;4.518 +/- 0.000;1.108 +/- 0.000;1.157 +/- 0.000;1.01 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_6;gemma3_12b__react;react;gemma3_12b;0.175 +/- 0.000;1.906 +/- 0.000;1.633 +/- 0.000;0.056 +/- 0.000;0.014 +/- 0.000;0.972 +/- 0.000;0.118 +/- 0.000;0.026 +/- 0.000;0.237 +/- 0.000;0.022 +/- 0.000;0.893 +/- 0.000;1.0 +/- 0.000;2.05 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.218 +/- 0.000;0.197 +/- 0.000;0.434 +/- 0.000;0.533 +/- 0.000;0.218 +/- 0.000;0.285 +/- 0.000;0.86 +/- 0.000;5.574 +/- 0.000;0.842 +/- 0.000;0.702 +/- 0.000;0.785 +/- 0.000;1.0 +/- 0.000
page-blocks-1-3_vs_4;gemma3_12b__react;react;gemma3_12b;0.316 +/- 0.000;1.307 +/- 0.000;3.521 +/- 0.000;0.396 +/- 0.000;0.115 +/- 0.000;0.825 +/- 0.000;0.357 +/- 0.000;0.16 +/- 0.000;0.414 +/- 0.000;0.036 +/- 0.000;0.991 +/- 0.000;1.0 +/- 0.000;0.986 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.274 +/- 0.000;0.348 +/- 0.000;0.391 +/- 0.000;0.968 +/- 0.000;0.274 +/- 0.000;0.356 +/- 0.000;1.125 +/- 0.000;9.896 +/- 0.000;2.113 +/- 0.000;2.486 +/- 0.000;1.296 +/- 0.000;1.0 +/- 0.000
pima;gemma3_12b__react;react;gemma3_12b;0.123 +/- 0.000;2.855 +/- 0.000;8.136 +/- 0.000;0.084 +/- 0.000;0.024 +/- 0.000;0.948 +/- 0.000;0.148 +/- 0.000;0.042 +/- 0.000;0.268 +/- 0.000;0.019 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.057 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.231 +/- 0.000;0.173 +/- 0.000;0.33 +/- 0.000;0.812 +/- 0.000;0.231 +/- 0.000;0.243 +/- 0.000;0.377 +/- 0.000;1.275 +/- 0.000;2.441 +/- 0.000;2.409 +/- 0.000;0.986 +/- 0.000;1.0 +/- 0.000
transfusion;gemma3_12b__react;react;gemma3_12b;0.129 +/- 0.000;2.319 +/- 0.000;3.143 +/- 0.000;0.128 +/- 0.000;0.035 +/- 0.000;0.907 +/- 0.000;0.183 +/- 0.000;0.06 +/- 0.000;0.281 +/- 0.000;0.024 +/- 0.000;0.778 +/- 0.000;1.0 +/- 0.000;1.375 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.244 +/- 0.000;0.193 +/- 0.000;0.308 +/- 0.000;1.0 +/- 0.000;0.244 +/- 0.000;0.239 +/- 0.000;0.838 +/- 0.000;4.693 +/- 0.000;2.477 +/- 0.000;2.606 +/- 0.000;1.059 +/- 0.000;1.0 +/- 0.000
vowel0;gemma3_12b__react;react;gemma3_12b;0.062 +/- 0.000;3.859 +/- 0.000;9.086 +/- 0.000;0.135 +/- 0.000;0.039 +/- 0.000;0.911 +/- 0.000;0.173 +/- 0.000;0.055 +/- 0.000;0.274 +/- 0.000;0.027 +/- 0.000;0.583 +/- 0.000;1.0 +/- 0.000;0.664 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.207 +/- 0.000;0.159 +/- 0.000;0.375 +/- 0.000;0.816 +/- 0.000;0.207 +/- 0.000;0.205 +/- 0.000;0.254 +/- 0.000;0.34 +/- 0.000;2.456 +/- 0.000;2.623 +/- 0.000;1.242 +/- 0.000;1.0 +/- 0.000
yeast1;gemma3_12b__react;react;gemma3_12b;0.066 +/- 0.000;4.422 +/- 0.000;8.897 +/- 0.000;0.106 +/- 0.000;0.033 +/- 0.000;0.933 +/- 0.000;0.164 +/- 0.000;0.044 +/- 0.000;0.364 +/- 0.000;0.028 +/- 0.000;0.841 +/- 0.000;1.0 +/- 0.000;0.886 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.352 +/- 0.000;0.25 +/- 0.000;0.509 +/- 0.000;0.754 +/- 0.000;0.352 +/- 0.000;0.701 +/- 0.000;1.651 +/- 0.000;18.684 +/- 0.000;2.156 +/- 0.000;2.641 +/- 0.000;6.901 +/- 0.000;1.0 +/- 0.000
yeast3;gemma3_12b__react;react;gemma3_12b;0.151 +/- 0.000;1.976 +/- 0.000;3.525 +/- 0.000;0.131 +/- 0.000;0.038 +/- 0.000;0.922 +/- 0.000;0.213 +/- 0.000;0.056 +/- 0.000;0.339 +/- 0.000;0.033 +/- 0.000;0.839 +/- 0.000;1.0 +/- 0.000;0.829 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.302 +/- 0.000;0.268 +/- 0.000;0.387 +/- 0.000;0.754 +/- 0.000;0.302 +/- 0.000;0.386 +/- 0.000;1.234 +/- 0.000;12.348 +/- 0.000;2.325 +/- 0.000;2.679 +/- 0.000;7.526 +/- 0.000;1.0 +/- 0.000
abalone9-18;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.045 +/- 0.000;5.523 +/- 0.000;7.095 +/- 0.000;0.063 +/- 0.000;0.018 +/- 0.000;0.925 +/- 0.000;0.097 +/- 0.000;0.025 +/- 0.000;0.192 +/- 0.000;0.019 +/- 0.000;0.732 +/- 0.000;1.0 +/- 0.000;0.727 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.145 +/- 0.000;0.103 +/- 0.000;0.253 +/- 0.000;0.983 +/- 0.000;0.145 +/- 0.000;0.392 +/- 0.000;0.282 +/- 0.000;0.334 +/- 0.000;2.531 +/- 0.000;2.638 +/- 0.000;1.092 +/- 0.000;1.0 +/- 0.000
cleveland-0_vs_4;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.044 +/- 0.000;4.045 +/- 0.000;8.856 +/- 0.000;0.073 +/- 0.000;0.02 +/- 0.000;0.952 +/- 0.000;0.115 +/- 0.000;0.032 +/- 0.000;0.191 +/- 0.000;0.025 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.379 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.153 +/- 0.000;0.134 +/- 0.000;0.234 +/- 0.000;0.591 +/- 0.000;0.153 +/- 0.000;0.26 +/- 0.000;0.529 +/- 0.000;2.288 +/- 0.000;1.356 +/- 0.000;1.362 +/- 0.000;0.994 +/- 0.000;1.0 +/- 0.000
dermatology-6;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.064 +/- 0.000;2.94 +/- 0.000;17.13 +/- 0.000;0.176 +/- 0.000;0.054 +/- 0.000;0.907 +/- 0.000;0.16 +/- 0.000;0.064 +/- 0.000;0.419 +/- 0.000;0.043 +/- 0.000;0.788 +/- 0.000;1.0 +/- 0.000;0.88 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.376 +/- 0.000;0.191 +/- 0.000;0.755 +/- 0.000;0.631 +/- 0.000;0.376 +/- 0.000;5.49 +/- 0.000;0.808 +/- 0.000;4.015 +/- 0.000;0.875 +/- 0.000;1.209 +/- 0.000;1.373 +/- 0.000;1.0 +/- 0.000
iris0;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.585 +/- 0.000;0.615 +/- 0.000;0.934 +/- 0.000;0.042 +/- 0.000;0.01 +/- 0.000;0.978 +/- 0.000;0.142 +/- 0.000;0.02 +/- 0.000;0.256 +/- 0.000;0.006 +/- 0.000;0.96 +/- 0.000;1.0 +/- 0.000;1.123 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.253 +/- 0.000;0.142 +/- 0.000;0.164 +/- 0.000;1.0 +/- 0.000;0.253 +/- 0.000;0.063 +/- 0.000;0.402 +/- 0.000;0.113 +/- 0.000;1.843 +/- 0.000;1.797 +/- 0.000;0.974 +/- 0.000;1.0 +/- 0.000
ecoli-0_vs_1;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.333 +/- 0.000;1.319 +/- 0.000;6.775 +/- 0.000;0.018 +/- 0.000;0.005 +/- 0.000;0.979 +/- 0.000;0.051 +/- 0.000;0.008 +/- 0.000;0.114 +/- 0.000;0.004 +/- 0.000;0.975 +/- 0.000;1.0 +/- 0.000;1.043 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.1 +/- 0.000;0.071 +/- 0.000;0.143 +/- 0.000;0.984 +/- 0.000;0.1 +/- 0.000;0.144 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.854 +/- 0.000;1.0 +/- 0.000
ecoli1;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.174 +/- 0.000;2.044 +/- 0.000;3.85 +/- 0.000;0.03 +/- 0.000;0.008 +/- 0.000;0.972 +/- 0.000;0.076 +/- 0.000;0.015 +/- 0.000;0.154 +/- 0.000;0.011 +/- 0.000;0.948 +/- 0.000;1.0 +/- 0.000;0.967 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.147 +/- 0.000;0.119 +/- 0.000;0.189 +/- 0.000;0.914 +/- 0.000;0.147 +/- 0.000;0.212 +/- 0.000;0.988 +/- 0.000;28.512 +/- 0.000;1.658 +/- 0.000;1.678 +/- 0.000;0.929 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_0;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.113 +/- 0.000;4.334 +/- 0.000;32.277 +/- 0.000;0.004 +/- 0.000;0.001 +/- 0.000;0.998 +/- 0.000;0.024 +/- 0.000;0.002 +/- 0.000;0.062 +/- 0.000;0.006 +/- 0.000;0.998 +/- 0.000;1.0 +/- 0.000;1.164 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.059 +/- 0.000;0.058 +/- 0.000;0.142 +/- 0.000;0.492 +/- 0.000;0.059 +/- 0.000;0.144 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.802 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_1;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.068 +/- 0.000;2.439 +/- 0.000;4.83 +/- 0.000;0.023 +/- 0.000;0.006 +/- 0.000;0.988 +/- 0.000;0.057 +/- 0.000;0.011 +/- 0.000;0.134 +/- 0.000;0.021 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.122 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.132 +/- 0.000;0.156 +/- 0.000;0.323 +/- 0.000;0.492 +/- 0.000;0.132 +/- 0.000;0.256 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.717 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_2;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.063 +/- 0.000;3.228 +/- 0.000;10.22 +/- 0.000;0.03 +/- 0.000;0.007 +/- 0.000;0.984 +/- 0.000;0.059 +/- 0.000;0.014 +/- 0.000;0.156 +/- 0.000;0.028 +/- 0.000;0.996 +/- 0.000;1.0 +/- 0.000;1.176 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.134 +/- 0.000;0.141 +/- 0.000;0.306 +/- 0.000;0.492 +/- 0.000;0.134 +/- 0.000;0.373 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.802 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_3;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.257 +/- 0.000;1.546 +/- 0.000;9.859 +/- 0.000;0.088 +/- 0.000;0.024 +/- 0.000;0.953 +/- 0.000;0.106 +/- 0.000;0.038 +/- 0.000;0.379 +/- 0.000;0.046 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.291 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.37 +/- 0.000;0.356 +/- 0.000;0.894 +/- 0.000;0.492 +/- 0.000;0.37 +/- 0.000;1.013 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.233 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_4;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.164 +/- 0.000;2.735 +/- 0.000;19.982 +/- 0.000;0.053 +/- 0.000;0.015 +/- 0.000;0.97 +/- 0.000;0.085 +/- 0.000;0.024 +/- 0.000;0.381 +/- 0.000;0.036 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.002 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.372 +/- 0.000;0.259 +/- 0.000;0.895 +/- 0.000;0.492 +/- 0.000;0.372 +/- 0.000;2.183 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.02 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_5;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.036 +/- 0.000;3.284 +/- 0.000;9.188 +/- 0.000;0.034 +/- 0.000;0.008 +/- 0.000;0.983 +/- 0.000;0.064 +/- 0.000;0.016 +/- 0.000;0.152 +/- 0.000;0.025 +/- 0.000;0.986 +/- 0.000;1.0 +/- 0.000;1.026 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.148 +/- 0.000;0.146 +/- 0.000;0.357 +/- 0.000;0.492 +/- 0.000;0.148 +/- 0.000;0.332 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.781 +/- 0.000;1.0 +/- 0.000
new-thyroid1;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.425 +/- 0.000;0.969 +/- 0.000;2.268 +/- 0.000;0.186 +/- 0.000;0.054 +/- 0.000;0.879 +/- 0.000;0.228 +/- 0.000;0.079 +/- 0.000;0.515 +/- 0.000;0.027 +/- 0.000;0.966 +/- 0.000;1.0 +/- 0.000;1.11 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.496 +/- 0.000;0.319 +/- 0.000;0.482 +/- 0.000;1.0 +/- 0.000;0.496 +/- 0.000;0.706 +/- 0.000;1.24 +/- 0.000;10.557 +/- 0.000;2.399 +/- 0.000;2.699 +/- 0.000;1.125 +/- 0.000;1.0 +/- 0.000
newthyroid2;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.398 +/- 0.000;1.047 +/- 0.000;2.752 +/- 0.000;0.184 +/- 0.000;0.054 +/- 0.000;0.885 +/- 0.000;0.224 +/- 0.000;0.085 +/- 0.000;0.434 +/- 0.000;0.026 +/- 0.000;0.944 +/- 0.000;1.0 +/- 0.000;1.016 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.408 +/- 0.000;0.282 +/- 0.000;0.418 +/- 0.000;1.0 +/- 0.000;0.408 +/- 0.000;0.45 +/- 0.000;1.001 +/- 0.000;8.994 +/- 0.000;2.377 +/- 0.000;2.644 +/- 0.000;1.111 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_0;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.053 +/- 0.000;3.941 +/- 0.000;12.612 +/- 0.000;0.124 +/- 0.000;0.04 +/- 0.000;0.935 +/- 0.000;0.105 +/- 0.000;0.045 +/- 0.000;0.176 +/- 0.000;0.025 +/- 0.000;0.829 +/- 0.000;1.0 +/- 0.000;0.831 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.142 +/- 0.000;0.123 +/- 0.000;0.205 +/- 0.000;0.543 +/- 0.000;0.142 +/- 0.000;0.228 +/- 0.000;0.554 +/- 0.000;4.105 +/- 0.000;1.118 +/- 0.000;1.519 +/- 0.000;1.562 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_1;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.109 +/- 0.000;3.152 +/- 0.000;16.35 +/- 0.000;0.056 +/- 0.000;0.015 +/- 0.000;0.966 +/- 0.000;0.104 +/- 0.000;0.025 +/- 0.000;0.247 +/- 0.000;0.027 +/- 0.000;0.967 +/- 0.000;1.0 +/- 0.000;0.936 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.24 +/- 0.000;0.137 +/- 0.000;0.394 +/- 0.000;0.543 +/- 0.000;0.24 +/- 0.000;0.334 +/- 0.000;0.55 +/- 0.000;3.689 +/- 0.000;1.116 +/- 0.000;1.187 +/- 0.000;1.136 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_2;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.028 +/- 0.000;4.848 +/- 0.000;11.592 +/- 0.000;0.179 +/- 0.000;0.058 +/- 0.000;0.908 +/- 0.000;0.127 +/- 0.000;0.067 +/- 0.000;0.204 +/- 0.000;0.024 +/- 0.000;0.843 +/- 0.000;1.0 +/- 0.000;0.832 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.152 +/- 0.000;0.146 +/- 0.000;0.241 +/- 0.000;0.543 +/- 0.000;0.152 +/- 0.000;0.268 +/- 0.000;0.482 +/- 0.000;3.948 +/- 0.000;1.123 +/- 0.000;1.713 +/- 0.000;1.825 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_3;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.011 +/- 0.000;6.117 +/- 0.000;11.077 +/- 0.000;0.112 +/- 0.000;0.036 +/- 0.000;0.94 +/- 0.000;0.093 +/- 0.000;0.041 +/- 0.000;0.155 +/- 0.000;0.017 +/- 0.000;0.916 +/- 0.000;1.0 +/- 0.000;0.952 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.112 +/- 0.000;0.116 +/- 0.000;0.184 +/- 0.000;0.543 +/- 0.000;0.112 +/- 0.000;0.221 +/- 0.000;0.468 +/- 0.000;3.932 +/- 0.000;1.134 +/- 0.000;1.477 +/- 0.000;1.434 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_4;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.01 +/- 0.000;5.475 +/- 0.000;10.098 +/- 0.000;0.036 +/- 0.000;0.01 +/- 0.000;0.98 +/- 0.000;0.068 +/- 0.000;0.014 +/- 0.000;0.124 +/- 0.000;0.011 +/- 0.000;0.919 +/- 0.000;1.0 +/- 0.000;0.927 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.108 +/- 0.000;0.098 +/- 0.000;0.238 +/- 0.000;0.543 +/- 0.000;0.108 +/- 0.000;0.202 +/- 0.000;0.495 +/- 0.000;4.142 +/- 0.000;1.139 +/- 0.000;1.159 +/- 0.000;0.988 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_5;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.029 +/- 0.000;3.71 +/- 0.000;8.807 +/- 0.000;0.064 +/- 0.000;0.018 +/- 0.000;0.962 +/- 0.000;0.084 +/- 0.000;0.026 +/- 0.000;0.163 +/- 0.000;0.014 +/- 0.000;0.798 +/- 0.000;1.0 +/- 0.000;0.811 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.118 +/- 0.000;0.117 +/- 0.000;0.225 +/- 0.000;0.543 +/- 0.000;0.118 +/- 0.000;0.268 +/- 0.000;0.562 +/- 0.000;4.498 +/- 0.000;1.111 +/- 0.000;1.183 +/- 0.000;1.042 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_6;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.073 +/- 0.000;2.897 +/- 0.000;4.334 +/- 0.000;0.05 +/- 0.000;0.014 +/- 0.000;0.972 +/- 0.000;0.086 +/- 0.000;0.021 +/- 0.000;0.172 +/- 0.000;0.013 +/- 0.000;0.908 +/- 0.000;1.0 +/- 0.000;1.606 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.148 +/- 0.000;0.14 +/- 0.000;0.256 +/- 0.000;0.533 +/- 0.000;0.148 +/- 0.000;0.243 +/- 0.000;0.7 +/- 0.000;5.158 +/- 0.000;0.826 +/- 0.000;0.811 +/- 0.000;0.922 +/- 0.000;1.0 +/- 0.000
page-blocks-1-3_vs_4;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.239 +/- 0.000;1.667 +/- 0.000;8.343 +/- 0.000;0.277 +/- 0.000;0.082 +/- 0.000;0.85 +/- 0.000;0.276 +/- 0.000;0.082 +/- 0.000;0.659 +/- 0.000;0.034 +/- 0.000;0.856 +/- 0.000;1.0 +/- 0.000;0.809 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.632 +/- 0.000;0.254 +/- 0.000;0.624 +/- 0.000;0.968 +/- 0.000;0.632 +/- 0.000;2.071 +/- 0.000;1.56 +/- 0.000;13.94 +/- 0.000;1.726 +/- 0.000;2.78 +/- 0.000;1.759 +/- 0.000;1.0 +/- 0.000
pima;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.12 +/- 0.000;2.88 +/- 0.000;11.278 +/- 0.000;0.049 +/- 0.000;0.014 +/- 0.000;0.963 +/- 0.000;0.105 +/- 0.000;0.018 +/- 0.000;0.297 +/- 0.000;0.016 +/- 0.000;0.936 +/- 0.000;1.0 +/- 0.000;1.03 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.264 +/- 0.000;0.131 +/- 0.000;0.439 +/- 0.000;0.812 +/- 0.000;0.264 +/- 0.000;4.332 +/- 0.000;3.317 +/- 0.000;43.538 +/- 0.000;2.293 +/- 0.000;2.426 +/- 0.000;1.059 +/- 0.000;1.0 +/- 0.000
transfusion;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.142 +/- 0.000;2.271 +/- 0.000;3.804 +/- 0.000;0.118 +/- 0.000;0.033 +/- 0.000;0.906 +/- 0.000;0.172 +/- 0.000;0.053 +/- 0.000;0.328 +/- 0.000;0.023 +/- 0.000;0.785 +/- 0.000;1.0 +/- 0.000;1.372 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.294 +/- 0.000;0.211 +/- 0.000;0.36 +/- 0.000;1.0 +/- 0.000;0.294 +/- 0.000;0.351 +/- 0.000;0.785 +/- 0.000;4.66 +/- 0.000;2.378 +/- 0.000;2.603 +/- 0.000;1.102 +/- 0.000;1.0 +/- 0.000
vowel0;gemma3_12b__schema_constraints;schema_constraints;gemma3_12b;0.057 +/- 0.000;4.254 +/- 0.000;9.89 +/- 0.000;0.128 +/- 0.000;0.037 +/- 0.000;0.912 +/- 0.000;0.161 +/- 0.000;0.052 +/- 0.000;0.264 +/- 0.000;0.026 +/- 0.000;0.568 +/- 0.000;1.0 +/- 0.000;0.662 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.193 +/- 0.000;0.147 +/- 0.000;0.3 +/- 0.000;0.816 +/- 0.000;0.193 +/- 0.000;0.206 +/- 0.000;0.215 +/- 0.000;0.272 +/- 0.000;2.434 +/- 0.000;2.627 +/- 0.000;1.25 +/- 0.000;1.0 +/- 0.000
